id,source,source_id,url,project_name,developer,unit_number,district,subdistrict,lat,lon,property_type,ownership_type,leasehold_years,title_deed,bedrooms,bathrooms,area_sqm,land_sqm,floor,total_floors,price_thb,price_per_sqm_thb,cam_fee_per_sqm,sinking_fund_per_sqm,furniture_package_thb,monthly_rent_thb,rental_type,rental_yield_claimed,rental_program,rental_pool_split,has_hotel_license,has_pool,has_garden,has_gym,parking_spaces,occupancy_status,is_off_plan,completion_date,year_built,days_on_market,price_drop_count,zone_type,raw_data,scraped_at,updated_at,is_active
1,fazwaz,1-bedroom-condo-for-sale-at-arise-vibe-in-si-sunthon-phuket-u6192574,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-arise-vibe-in-si-sunthon-phuket-u6192574,Arise Vibe,,,layan,"Si Sunthon, Thalang, Phuket",,,condo,unknown,,,1.0,,,,,,4600000.0,,,,,,unknown,,0,,0,1,0,0,,,1,,,,,,"{""card_text"": ""see all arise vibe listed 4 days ago updated 3 days ago si sunthon, thalang, phuket ฿4,600,000 (฿116,000/sqm) 1 bedroom condo for sale at arise vibe the only top floor 1 bed+ unit in building a at arise vibe! don't miss this exceptional chance to own a 1 bedroom plus unit at arise vibe - a sold-out unit type within one of phuket's most sought-afte... details: 1 bedroom(s) 1 bathroom(s) 39.70 sqm p"", ""tags"": [""cam fee:฿1,985/mo"", ""sinking fund:฿19,850"", ""updated: 3 days ago""], ""location_text"": ""Si Sunthon, Thalang, Phuket"", ""url"": ""https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-arise-vibe-in-si-sunthon-phuket-u6192574""}",2026-04-21 09:02:24.832931,2026-04-21 09:02:24.832931,1
2,fazwaz,2-bedroom-penthouse-for-sale-at-nai-harn-beach-condominium-in-rawai-phuket-u1967238,https://www.fazwaz.com/property-sales/2-bedroom-penthouse-for-sale-at-nai-harn-beach-condominium-in-rawai-phuket-u1967238,Nai Harn Beach Condominium,,,rawai,"Rawai, Phuket Town, Phuket",,,house,leasehold,,,,,,,,,7500000.0,,,,,,unknown,,0,,0,0,0,0,,,0,,,,,,"{""card_text"": ""nai harn beach condominium updated 3 days ago rawai, phuket town, phuket ฿7,500,000 ฿8,999,999 (฿66,500/sqm) 2 bedroom penthouse for sale at nai harn beach condominium experience true tropical living at nai harn beach condominium, one of rawai’s most desirable low-rise residences just walking distance to the world-famous nai harn beach.\nthis exceptional 6th-fl... details: 2 bedroom(s) 2 bathroom(s"", ""tags"": [""cam fee:฿7,889/mo"", ""updated: 3 days ago""], ""location_text"": ""Rawai, Phuket Town, Phuket"", ""url"": ""https://www.fazwaz.com/property-sales/2-bedroom-penthouse-for-sale-at-nai-harn-beach-condominium-in-rawai-phuket-u1967238""}",2026-04-21 09:02:24.842349,2026-04-21 09:02:24.842349,1
3,fazwaz,2-bedroom-penthouse-for-sale-at-diamond-condominium-bang-tao-in-choeng-thale-phuket-u6145848,https://www.fazwaz.com/property-sales/2-bedroom-penthouse-for-sale-at-diamond-condominium-bang-tao-in-choeng-thale-phuket-u6145848,Diamond Condominium Bang Tao,,,cherng-talay,"Choeng Thale, Thalang, Phuket",,,house,unknown,,,,,,,,,18000000.0,,,,,,unknown,,0,,0,1,0,0,,,0,,,,,,"{""card_text"": ""see all diamond condominium bang tao 5% guar. return for 5 years listed 2 weeks ago updated 3 days ago choeng thale, thalang, phuket ฿18,000,000 (฿135,000/sqm) 2 bedroom penthouse for sale at diamond condominium bang tao discover luxury tropical living just moments from the beach at diamond condominium bang tao, located in one of phuket’s most sought-after lifestyle destinations.\nthis exceptional "", ""tags"": [""cam fee:฿9,314/mo"", ""sinking fund:฿66,525"", ""updated: 3 days ago""], ""location_text"": ""Choeng Thale, Thalang, Phuket"", ""url"": ""https://www.fazwaz.com/property-sales/2-bedroom-penthouse-for-sale-at-diamond-condominium-bang-tao-in-choeng-thale-phuket-u6145848""}",2026-04-21 09:02:24.842349,2026-04-21 09:02:24.842349,1
4,fazwaz,2-bedroom-condo-for-sale-at-nai-harn-beach-condominium-in-rawai-phuket-u5346015,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-nai-harn-beach-condominium-in-rawai-phuket-u5346015,Nai Harn Beach Condominium,,,rawai,"Rawai, Phuket Town, Phuket",,,condo,leasehold,,,,,,,,,6500000.0,,,,,,unknown,,0,,0,1,1,0,,,0,,,,,,"{""card_text"": ""nai harn beach condominium updated 3 days ago rawai, phuket town, phuket ฿6,500,000 ฿8,499,999 (฿57,700/sqm) 2 bedroom condo for sale at nai harn beach condominium live the ultimate phuket beach lifestyle at nai harn beach condominium — a spacious and beautifully renovated 2-bedroom corner unit just walking distance to one of phuket’s most stunning b... details: 2 bedroom(s) 2 bathroom(s) 112.70 s"", ""tags"": [""est. rent:฿56,300/mo| roi:10%"", ""cam fee:฿7,889/mo"", ""updated: 3 days ago""], ""location_text"": ""Rawai, Phuket Town, Phuket"", ""url"": ""https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-nai-harn-beach-condominium-in-rawai-phuket-u5346015""}",2026-04-21 09:02:24.842349,2026-04-21 09:02:24.842349,1
5,fazwaz,14-bedroom-hotel-for-sale-in-patong-phuket-u5803265,https://www.fazwaz.com/property-sales/14-bedroom-hotel-for-sale-in-patong-phuket-u5803265,Hotel Commercial Opportunity For Sale In Patong,,,patong,"Patong, Kathu, Phuket",,,condo,unknown,,,,,,,,,80000000.0,,,,,,unknown,,0,,0,0,0,0,,,0,,,,,,"{""card_text"": ""see all hotel commercial opportunity for sale in patong updated 5 hours ago patong, kathu, phuket ฿80,000,000 ฿90,000,000 (฿26,700/sqm) 14 bedroom hotel for sale in patong, phuket prime commercial building for sale – 14-room boutique hotel opportunity near patong beach perfectly positioned on the main road from patong to karon, this well-maintained 4-storey commercial pro... details: 14 bedroom(s)"", ""tags"": [""updated: 5 hours ago""], ""location_text"": ""Patong, Kathu, Phuket"", ""url"": ""https://www.fazwaz.com/property-sales/14-bedroom-hotel-for-sale-in-patong-phuket-u5803265""}",2026-04-21 09:02:24.851870,2026-04-21 09:02:24.851870,1
6,fazwaz,1-bedroom-condo-for-sale-at-utopia-naiharn-in-rawai-phuket-u6195146,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-utopia-naiharn-in-rawai-phuket-u6195146,Utopia Naiharn,,,rawai,"Rawai, Phuket Town, Phuket",,,condo,leasehold,,,,,,,,,3180000.0,,,,,,unknown,,0,,0,0,1,0,,,0,,,,,,"{""card_text"": ""see all utopia naiharn 8% guar. return for 3 years listed 4 hours ago rawai, phuket town, phuket ฿3,180,000 (฿72,800/sqm) 1 bedroom condo for sale at utopia naiharn this is a one-bedroom condominium unit with a total floor area of 42 square meters. the space is thoughtfully designed, featuring a comfortable bedroom, a modern bathroom, and an open-concept living a... details: 1 bedroom(s) 1 bathroo"", ""tags"": [""cam fee:฿2,184/mo"", ""sinking fund:฿21,835""], ""location_text"": ""Rawai, Phuket Town, Phuket"", ""url"": ""https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-utopia-naiharn-in-rawai-phuket-u6195146""}",2026-04-21 09:02:24.854217,2026-04-21 09:02:24.854217,1
7,fazwaz,1-bedroom-condo-for-sale-at-nai-harn-beach-condominium-in-rawai-phuket-u5628030,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-nai-harn-beach-condominium-in-rawai-phuket-u5628030,Nai Harn Beach Condominium,,,rawai,"Rawai, Phuket Town, Phuket",,,condo,leasehold,,,,,2.0,,,,4200000.0,2100000.0,,,,,unknown,,0,,0,1,0,0,,,0,,,,,,"{""card_text"": ""see all nai harn beach condominium updated 3 days ago rawai, phuket town, phuket ฿4,200,000 ฿4,500,000 (฿73,400/sqm) 1 bedroom condo for sale at nai harn beach condominium discover a rare opportunity to own a spacious unit near one of phuket’s most beautiful beaches at nai harn beach condominium.\nthis generously sized unit (57.2 sqm) is located on the 5th floor, o... details: 1 bedroom(s) 1 bathro"", ""tags"": [""est. rent:฿39,800/mo| roi:11%"", ""cam fee:฿4,004/mo"", ""updated: 3 days ago""], ""location_text"": ""Rawai, Phuket Town, Phuket"", ""url"": ""https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-nai-harn-beach-condominium-in-rawai-phuket-u5628030""}",2026-04-21 09:02:24.854217,2026-04-21 09:02:24.854217,1
8,fazwaz,1-bedroom-condo-for-sale-at-the-title-halo-1-in-sakhu-phuket-u5946968,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-title-halo-1-in-sakhu-phuket-u5946968,The Title Halo 1,,,mai-khao,"Sakhu, Thalang, Phuket",,,condo,leasehold,,,,,,,,,4500000.0,,,,,,unknown,,0,,0,0,0,0,,,0,,,,,,"{""card_text"": ""see all the title halo 1 updated 5 hours ago sakhu, thalang, phuket ฿4,500,000 ฿6,000,000 (฿99,300/sqm) 1 bedroom condo for sale at the title halo 1 discover a rare opportunity to own a highest-floor sea view unit at the title halo 1 — one of phuket’s most sought-after lifestyle developments, located just moments from naiyang beach.\nth... details: 1 bedroom(s) 1 bathroom(s) 45.31 sqm property type"", ""tags"": [""est. rent:฿49,400/mo| roi:13%"", ""cam fee:฿2,719/mo"", ""sinking fund:฿27,186"", ""updated: 5 hours ago""], ""location_text"": ""Sakhu, Thalang, Phuket"", ""url"": ""https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-title-halo-1-in-sakhu-phuket-u5946968""}",2026-04-21 09:02:24.854217,2026-04-21 09:02:24.854217,1
9,fazwaz,1-bedroom-condo-for-sale-at-space-cherngtalay-condominium-in-choeng-thale-phuket-u6153834,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-space-cherngtalay-condominium-in-choeng-thale-phuket-u6153834,Space Cherngtalay Condominium,,,cherng-talay,"Choeng Thale, Thalang, Phuket",,,condo,unknown,,,,,,,,,3500000.0,,,,,,unknown,,0,,0,0,0,0,,,0,,,,,,"{""card_text"": ""see all space cherngtalay condominium listed 2 weeks ago choeng thale, thalang, phuket ฿3,500,000 (฿123,000/sqm) 1 bedroom condo for sale at space cherngtalay condominium welcome to space cherngtalay condominium, a modern residential project located near the beautiful bang tao beach in phuket. designed with a deep understanding of your needs, the condominium offers the... details: 1 bedroom(s) 1 b"", ""tags"": [""est. rent:฿27,400/mo| roi:9%"", ""cam fee:฿1,428/mo""], ""location_text"": ""Choeng Thale, Thalang, Phuket"", ""url"": ""https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-space-cherngtalay-condominium-in-choeng-thale-phuket-u6153834""}",2026-04-21 09:02:24.854217,2026-04-21 09:02:24.854217,1
10,fazwaz,2-bedroom-condo-for-sale-at-the-deck-patong-in-patong-phuket-u5606032,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-deck-patong-in-patong-phuket-u5606032,The Deck Patong,,,patong,"Patong, Kathu, Phuket",,,condo,unknown,,,,,32.0,,,,8900000.0,278125.0,,,,,unknown,,0,,0,1,0,0,,,0,,,,,,"{""card_text"": ""the deck patong updated 2 days ago patong, kathu, phuket ฿8,900,000 ฿9,590,000 (฿136,000/sqm) 2 bedroom condo for sale at the deck patong discover a rare opportunity to own a 2-bedroom, 2-bathroom condominium at the deck patong, located on the 7th floor (building b) with a generous 65.32 sqm of well-planned living space.\nthe unit enjoys... details: 2 bedroom(s) 2 bathroom(s) 65.32 sqm property typ"", ""tags"": [""rent:฿70,000/mo| roi:9%"", ""cam fee:฿3,593/mo"", ""sinking fund:฿39,192"", ""updated: 2 days ago""], ""location_text"": ""Patong, Kathu, Phuket"", ""url"": ""https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-deck-patong-in-patong-phuket-u5606032""}",2026-04-21 09:02:24.854217,2026-04-21 09:02:24.854217,1
